,x,y
0,79,24
1,85,27
2,73,47
3,55,85
4,52,3
5,69,67
6,79,41
7,84,90
8,49,1
9,69,84
10,91,1
11,57,60
12,72,9
13,64,0
14,78,77
15,99,54
16,3,99
17,41,23
18,17,44
19,2,89
20,31,96
21,41,82
22,59,89
23,25,3
24,16,31
25,34,18
26,17,51
27,3,56
28,91,48
29,10,41
30,68,44
31,62,66
32,61,65
33,24,95
34,3,3
35,24,71
36,98,41
37,95,28
38,44,28
39,83,59
40,64,12
41,83,79
42,95,35
43,46,90
44,79,60
45,95,84
46,56,61
47,85,45
48,44,87
49,7,31
50,8,38
51,15,17
52,84,52
53,58,4
54,14,40
55,3,21
56,46,36
57,72,76
58,5,22
59,55,83
60,64,42
61,65,64
62,4,82
63,42,61
64,82,6
65,18,1
66,50,39
67,15,19
68,86,81
69,92,92
70,35,50
71,43,57
72,93,86
73,29,95
74,1,41
75,17,59
76,68,90
77,10,96
78,35,3
79,36,89
80,24,26
81,12,7
82,71,65
83,19,44
84,94,74
85,46,30
86,46,50
87,89,53
88,74,23
89,77,16
90,84,2
91,71,29
92,94,45
93,56,16
94,43,2
95,28,61
96,97,74
97,68,18
98,32,86
99,80,54
100,92,20
101,16,61
102,27,17
103,73,89
104,38,94
105,83,8
106,45,73
107,13,7
108,56,58
109,99,26
110,76,55
111,16,72
112,57,92
113,32,35
114,65,14
115,78,59
116,90,63
117,72,79
118,5,57
119,2,52
120,83,18
121,12,57
122,76,96
123,99,8
124,22,24
125,80,44
126,36,40
127,16,32
128,84,51
129,32,49
130,5,70
131,21,57
132,17,39
133,68,21
134,98,9
135,79,77
136,96,15
137,28,64
138,81,74
139,28,81
140,0,93
141,90,64
142,49,70
143,62,81
144,96,50
145,54,57
146,13,80
147,54,52
148,57,29
149,37,77
150,19,3
151,61,71
152,94,16
153,43,19
154,29,63
155,38,45
156,87,52
157,97,66
158,39,74
159,66,91
160,3,89
161,22,93
162,33,48
163,94,9
164,94,41
165,76,88
166,3,92
167,48,63
168,40,46
169,67,50
170,23,88
171,38,87
172,87,71
173,40,19
174,17,52
175,0,56
176,2,78
177,30,2
178,29,89
179,42,99
180,59,42
181,17,72
182,72,75
183,36,47
184,25,17
185,38,77
186,15,42
187,98,24
188,20,63
189,95,93
190,10,86
191,79,28
192,84,25
193,47,32
194,80,3
195,92,89
196,63,95
197,73,21
198,79,38
199,73,26
200,74,56
201,68,25
202,94,94
203,29,91
204,31,8
205,89,32
206,56,33
207,51,53
208,87,95
209,70,65
210,5,1
211,93,0
212,68,47
213,29,51
214,66,19
215,40,0
216,35,17
217,30,89
218,53,72
219,56,84
220,78,47
221,51,86
222,29,76
223,83,50
224,17,99
225,53,26
226,66,93
227,12,53
228,58,15
229,78,33
230,84,29
231,54,51
232,29,82
233,97,2
234,17,52
235,67,55
236,10,68
237,68,83
238,80,66
239,17,30
240,22,4
241,27,5
242,5,51
243,56,10
244,29,56
245,50,27
246,29,67
247,67,85
248,48,69
249,28,74
250,93,32
251,54,10
252,18,30
253,96,49
254,96,57
255,51,0
256,30,34
257,5,64
258,54,72
259,66,44
260,83,87
261,57,25
262,0,89
263,94,67
264,38,83
265,23,50
266,33,88
267,30,6
268,16,86
269,83,64
270,6,63
271,16,57
272,12,12
273,75,37
274,97,91
275,2,33
276,55,41
277,85,31
278,55,42
279,16,12
280,37,28
281,27,75
282,8,76
283,28,14
284,4,22
285,34,20
286,34,45
287,7,22
288,82,38
289,35,20
290,71,24
291,11,44
292,67,12
293,57,83
294,58,56
295,52,75
296,22,28
297,6,5
298,31,79
299,72,56
300,58,26
301,24,78
302,31,90
303,29,42
304,50,59
305,55,72
306,89,68
307,85,42
308,54,76
309,37,47
310,7,83
311,92,99
312,1,55
313,46,35
314,0,94
315,79,60
316,89,92
317,60,28
318,45,74
319,26,16
320,2,16
321,34,52
322,97,69
323,7,50
324,31,79
325,76,8
326,68,68
327,65,81
328,48,17
329,91,49
330,29,25
331,31,57
332,13,49
333,26,34
334,33,91
335,79,43
336,67,28
337,94,82
338,37,12
339,51,65
340,32,31
341,32,90
342,68,60
343,84,26
344,74,44
345,33,60
346,87,35
347,0,35
348,55,29
349,26,35
350,35,6
351,66,14
352,84,55
353,17,47
354,66,51
355,69,66
356,61,66
357,71,64
358,90,12
359,10,16
360,72,89
361,42,11
362,50,44
363,35,53
364,64,37
365,60,95
366,48,84
367,22,32
368,99,12
369,46,44
370,45,63
371,13,37
372,1,46
373,96,53
374,65,3
375,86,34
376,73,8
377,69,63
378,82,7
379,44,3
380,27,15
381,50,24
382,10,86
383,80,89
384,34,35
385,84,51
